"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
153.8936,-28.99976,2004-01-01,"EvansHead_East",1,1,2004,24.8199996948242
153.8936,-28.99976,2004-01-02,"EvansHead_East",2,1,2004,NA
153.8936,-28.99976,2004-01-03,"EvansHead_East",3,1,2004,25.5294118769029
153.8936,-28.99976,2004-01-04,"EvansHead_East",4,1,2004,NA
153.8936,-28.99976,2004-01-05,"EvansHead_East",5,1,2004,25.5924000549316
153.8936,-28.99976,2004-01-06,"EvansHead_East",6,1,2004,25.2613999938965
153.8936,-28.99976,2004-01-07,"EvansHead_East",7,1,2004,NA
153.8936,-28.99976,2004-01-08,"EvansHead_East",8,1,2004,NA
153.8936,-28.99976,2004-01-09,"EvansHead_East",9,1,2004,NA
153.8936,-28.99976,2004-01-10,"EvansHead_East",10,1,2004,NA
153.8936,-28.99976,2004-01-11,"EvansHead_East",11,1,2004,NA
153.8936,-28.99976,2004-01-12,"EvansHead_East",12,1,2004,26.5805999755859
153.8936,-28.99976,2004-01-13,"EvansHead_East",13,1,2004,NA
153.8936,-28.99976,2004-01-14,"EvansHead_East",14,1,2004,NA
153.8936,-28.99976,2004-01-15,"EvansHead_East",15,1,2004,NA
153.8936,-28.99976,2004-01-16,"EvansHead_East",16,1,2004,NA
153.8936,-28.99976,2004-01-17,"EvansHead_East",17,1,2004,NA
153.8936,-28.99976,2004-01-18,"EvansHead_East",18,1,2004,25.5799999237061
153.8936,-28.99976,2004-01-19,"EvansHead_East",19,1,2004,26.9509998321533
153.8936,-28.99976,2004-01-20,"EvansHead_East",20,1,2004,NA
153.8936,-28.99976,2004-01-21,"EvansHead_East",21,1,2004,NA
153.8936,-28.99976,2004-01-22,"EvansHead_East",22,1,2004,26.2062001037598
153.8936,-28.99976,2004-01-23,"EvansHead_East",23,1,2004,23.8299999237061
153.8936,-28.99976,2004-01-24,"EvansHead_East",24,1,2004,26.8834003448486
153.8936,-28.99976,2004-01-25,"EvansHead_East",25,1,2004,NA
153.8936,-28.99976,2004-01-26,"EvansHead_East",26,1,2004,28.5757999420166
153.8936,-28.99976,2004-01-27,"EvansHead_East",27,1,2004,24.8958001708984
153.8936,-28.99976,2004-01-28,"EvansHead_East",28,1,2004,26.6815999603271
153.8936,-28.99976,2004-01-29,"EvansHead_East",29,1,2004,NA
153.8936,-28.99976,2004-01-30,"EvansHead_East",30,1,2004,21.1599998474121
153.8936,-28.99976,2004-01-31,"EvansHead_East",31,1,2004,25.4209999847412
153.8936,-28.99976,2004-02-01,"EvansHead_East",1,2,2004,24.9267999267578
153.8936,-28.99976,2004-02-02,"EvansHead_East",2,2,2004,NA
153.8936,-28.99976,2004-02-03,"EvansHead_East",3,2,2004,NA
153.8936,-28.99976,2004-02-04,"EvansHead_East",4,2,2004,26.7382140840803
153.8936,-28.99976,2004-02-05,"EvansHead_East",5,2,2004,NA
